id,ts,iso_ts,event,actor,ip,payload
166,1779692402725,2026-05-25T07:00:02.725Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
167,1779692608627,2026-05-25T07:03:28.627Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
168,1779692644356,2026-05-25T07:04:04.356Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
169,1779692648697,2026-05-25T07:04:08.697Z,threat.refresh,system ,,"{""new_count"":0,""total"":0}"
170,1779692678035,2026-05-25T07:04:38.035Z,scan.started,system ,,"{""subnet"":""192.168.8.0/24""}"
171,1779692679482,2026-05-25T07:04:39.482Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
172,1779692681361,2026-05-25T07:04:41.361Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
173,1779692701154,2026-05-25T07:05:01.154Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
174,1779692705064,2026-05-25T07:05:05.064Z,scan.complete,system ,,"{""devices_found"":15,""subnet"":""192.168.8.0/24""}"
175,1779693001070,2026-05-25T07:10:01.070Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
176,1779693206584,2026-05-25T07:13:26.584Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
177,1779693207498,2026-05-25T07:13:27.498Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
178,1779693212803,2026-05-25T07:13:32.803Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
179,1779693341052,2026-05-25T07:15:41.052Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
180,1779693347741,2026-05-25T07:15:47.741Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
181,1779693600792,2026-05-25T07:20:00.792Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
182,1780355236868,2026-06-01T23:07:16.868Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
183,1780355242126,2026-06-01T23:07:22.126Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":129},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5006}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
184,1780355253023,2026-06-01T23:07:33.023Z,threat.refresh,system ,,"{""new_count"":25,""total"":25}"
185,1780355516282,2026-06-01T23:11:56.282Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
186,1780355521764,2026-06-01T23:12:01.764Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":446},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5013}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
187,1780355780682,2026-06-01T23:16:20.682Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
188,1780355781157,2026-06-01T23:16:21.157Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":98},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":362}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
189,1780381200953,2026-06-02T06:20:00.953Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":330},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":598}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
190,1780381292456,2026-06-02T06:21:32.456Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
191,1780381502183,2026-06-02T06:25:02.183Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":66},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":1405}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
192,1780381581555,2026-06-02T06:26:21.555Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
193,1780381805281,2026-06-02T06:30:05.281Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":68},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5009}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
194,1782328361927,2026-06-24T19:12:41.927Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
